incident_text,section,section_title,description,punishment
"A person intentionally causes the death of another person",101,"Punishment for murder","Whoever commits murder shall be punished with death or imprisonment for life, and shall also be liable to fine.","Death or imprisonment for life and fine"
"A person causes death by negligence",104,"Causing death by negligence","Whoever causes the death of any person by doing any rash or negligent act shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both"
"A person voluntarily causes hurt",319,"Voluntarily causing hurt","Whoever does any act with the intention of causing hurt to any person, or with the knowledge that he is likely thereby to cause hurt to any person, and does thereby cause hurt to any person, is said 'voluntarily to cause hurt'.","Imprisonment up to 1 year, or fine up to ₹1,000, or both"
"A person commits theft by taking movable property out of the possession of another person without their consent",303,"Theft","Whoever, intending to take dishonestly any movable property out of the possession of any person without that person's consent, moves that property in order to such taking, is said to commit theft.","Imprisonment up to 3 years, or fine, or both"
"A person enters or remains in a building or property without permission",441,"Criminal trespass","Whoever enters into or upon property in the possession of another with intent to commit an offence or to intimidate, insult or annoy any person in possession of such property, commits criminal trespass.","Imprisonment up to 3 months, or fine up to ₹500, or both"
"A person gives or fabricates false evidence in a judicial proceeding",193,"Giving or fabricating false evidence in a judicial proceeding","Whoever intentionally gives false evidence in any stage of a judicial proceeding, or fabricates false evidence for the purpose of being used in any stage of a judicial proceeding, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.","Imprisonment up to 7 years and fine"
"A person dishonestly misappropriates or converts to his own use property that he was entrusted with",405,"Criminal breach of trust","Whoever, being in any manner entrusted with property, or with any dominion over property, dishonestly misappropriates or converts to his own use that property, commits criminal breach of trust.","Imprisonment up to 3 years, or fine, or both"
"A person assaults or uses criminal force to a woman with intent to outrage her modesty",354,"Assault or criminal force to woman with intent to outrage her modesty","Whoever assaults or uses criminal force to any woman, intending to outrage or knowing it to be likely that he will thereby outrage her modesty, shall be punished with imprisonment of either description for a term which shall not be less than one year but which may extend to five years, and shall also be liable to fine.","Imprisonment 1-5 years and fine"
"A person voluntarily causes grievous hurt by dangerous weapons or means",326,"Voluntarily causing grievous hurt by dangerous weapons or means","Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt by means of any instrument for shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause death, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Imprisonment for life or up to 10 years and fine"
"A person commits rape",375,"Rape","A man is said to commit 'rape' if he has sexual intercourse with a woman against her will, without her consent, or with her consent when her consent has been obtained by putting her or any person in whom she is interested in fear of death or of hurt, or when the man knows that he is not her husband, and that her consent is given because she believes that he is another man to whom she is or believes herself to be lawfully married, or with her consent, when, at the time of giving such consent, by reason of unsoundness of mind or intoxication or the administration by him personally or through another of any stupefying or unwholesome substance, she is unable to understand the nature and consequences of that to which she gives consent, or with or without her consent, when she is under eighteen years of age, or when she is unable to communicate consent.","Imprisonment not less than 10 years which may extend to imprisonment for life, and shall also be liable to fine"
"A person commits dowry death",304B,"Dowry death","Where the death of a woman is caused by any burns or bodily injury or occurs otherwise than under normal circumstances within seven years of her marriage and it is shown that soon before her death she was subjected to cruelty or harassment by her husband or any relative of her husband for, or in connection with, any demand for dowry, such death shall be called 'dowry death'.","Imprisonment not less than 7 years which may extend to imprisonment for life"
"A person commits criminal conspiracy with one or more persons to commit an offence",120A,"Definition of criminal conspiracy","When two or more persons agree to do, or cause to be done, an illegal act, or an act which is not illegal by illegal means, such an agreement is designated a criminal conspiracy.","Same as for the offence conspired to be committed, or with fine, or with both"
"A person intentionally insults, and thereby gives provocation to any person, intending or knowing it to be likely that such provocation will cause him to break the public peace, or to commit any other offence",504,"Intentional insult with intent to provoke breach of the peace","Whoever intentionally insults, and thereby gives provocation to any person, intending or knowing it to be likely that such provocation will cause him to break the public peace, or to commit any other offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both"
"A person makes, signs, or declares any statement which is false and which he either knows or believes to be false or does not believe to be true",177,"Furnishing false information","Whoever, being legally bound to furnish information on any subject to any public servant, as such, furnishes, as true, information on the subject which he knows or has reason to believe to be false, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.","Imprisonment up to 6 months, or fine up to ₹1,000, or both"
"A person commits mischief by destroying or damaging any property",425,"Mischief","Whoever with intent to cause, or knowing that he is likely to cause, wrongful loss or damage to the public or to any person, causes the destruction of any property, or any such change in any property or in the situation thereof as destroys or diminishes its value or utility, or affects it injuriously, commits 'mischief'.","Imprisonment up to 3 months, or fine, or both"
